Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),Cuantizacion,Attention Implementation,Speculative Decoding
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.029466728159715683,106080.22137497646,0.005128684036198515,46023692.57166835,51675,10929,0.13236383839351376,0.037711571399263934,26.517059960527614,144.29624847283935,2.645472154384706,9.706306283738353,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.012949065525710828,46616.63589255898,0.00225378485474997,8880385.135864014,51675,10852,0.1668222982709001,0.015033112893102796,66.51982241540944,328.2288265496991,1.1615743782462142,4.295672308566069,,auto,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.011404986861156409,41057.95270016307,0.001985037963184273,6939804.13104411,170633,2280,0.10819889495247288,0.020034150073402805,49.91477034643924,1023.0049207707491,0.1482671950992785,18.007873991299594,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.018266380719984772,65758.97059194518,0.0031792635643133503,17726143.244398467,170633,2280,0.13478639251307437,0.05083590860952411,19.671134584828685,641.4582532248331,0.2364582097321226,28.84165376839701,,auto,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,resumen,200,200,1,25.4856597748469,0.047126455664165255,169655.2403909949,0.008202359608347963,117812390.14393596,175161,16042,0.42387726068496706,0.038003172575424266,26.313592582706526,275.34108160311416,3.4721117329597475,10.575691334683636,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,resumen,200,200,1,25.4344464428821,0.03630815653511968,130709.36352643084,0.0063194346449375795,69792751.49800369,175161,16300,0.5087376296520233,0.026515717711185386,37.713480392731746,358.5722716613314,2.669768623113632,8.018979357449744,,auto,draft_model
HuggingFaceTB/SmolLM2-1.7B-Instruct,vllm,cuda,humaneval,164,164,1,15.853658536585366,0.028356451722743252,102083.2262018757,0.004935440422343463,43048513.53117511,55149,18616,0.08038071306740366,0.0219444418778274,45.56962558297721,174.92286174592584,2.571342481345665,5.483628395029851,,auto,
