Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen)," cuantización"
Qwen/Qwen2.5-3B-Instruct-Q4_0,llamacpp,cuda,mmlu,1140,1140,1,63.50877192982456,0.006783900157990734,24422.040568766643,0.0011807378224982874,2592301.467630947,170633,1140,0.07549546622393424,0.017615043907834773,56.76965696095839,1618.2713418947076,0.09311051013176902,21.422842604181266,8
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.02944411512730057,105998.81445828205,0.005124748237906664,45968629.83379565,51675,10926,0.0,0.03969166845317815,25.194204198788956,144.35130670404425,2.6443363995086857,9.701520635024899,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.01408951067685374,50722.23843667346,0.0024522793333063937,10510387.010796025,51675,10977,0.0,0.01887715893429442,52.974073242731706,302.3532510525305,1.2635034976935968,4.620774203942194,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.006458196801927349,23249.50848693846,0.0011240491533754551,2207809.235104108,51675,10850,0.0,0.008752216084212202,114.25677684122344,658.4244213822576,0.5790338080103804,2.1428118421141438,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.00431469611757727,15532.90602327817,0.0007509728592643239,986392.5123655465,51675,10948,0.0,0.005800457692381497,172.4001885770896,986.1360074226417,0.38721591961093066,1.4187893700473302,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,71.95121951219512,0.0029564248746887837,10643.12954887962,0.0005145657494395828,463020.0446193021,51675,10711,0.0,0.004061630622266154,246.20653451791688,1434.024914801117,0.26526905850666327,0.9936634813630493,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,71.95121951219512,0.0023277889467915552,8380.040208449598,0.0004051516661890702,286937.10219047015,51675,10848,0.0,0.0031563919641978623,316.8174331143728,1825.9933969957533,0.2087837806562098,0.7724963318998523,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.011380608205937306,40970.189541374304,0.001980794858243388,6903271.720667185,170633,2280,0.0,0.07390131187020686,13.531559517594268,1026.2204170463938,0.14780262374041372,17.96938137779575,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.98245614035088,0.005460508020724537,19657.828874608334,0.0009504014210071057,1589067.7765335052,170633,2280,0.0,0.035454553783985605,28.205121578816428,2139.049205069248,0.07090910756797121,8.62185476956506,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,57.54385964912281,0.0037150865498091425,13374.311579312913,0.0006466108139942813,733248.5780710288,170633,2280,0.0,0.02404611643991972,41.586756950900735,3153.899519583815,0.04809223287983944,5.865926131277593,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.45614035087719,0.0035029430398178883,12610.594943344398,0.0006096872360803035,659705.866967905,170633,2280,0.0,0.02294457000598573,43.583296603036025,3305.3151603161264,0.04588914001197146,5.530962694449298,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,58.245614035087726,0.0033371539012521326,12013.754044507677,0.0005808316365129337,596597.432899264,170633,2280,0.0,0.021780497567695484,45.91263339562937,3481.9698150607287,0.04356099513539097,5.269190370398104,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,58.333333333333336,0.003339452793961638,12022.030058261897,0.0005812317587890231,590191.5790818769,170633,2280,0.0,0.021531800742734943,46.44293396303189,3522.187298399006,0.043063601485469886,5.27282020099206,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,164,1,70.1219512195122,0.038364487132161736,138112.15367578226,0.0066773389853527505,83340409.40383738,51675,13744,0.06504078463810246,0.04312855884762388,23.186492354939748,108.41270214470508,3.6794243992828743,10.048905244163436,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,41,4,71.34146341463415,0.02707418307379319,97467.05906565549,0.004712261563993705,40091570.497882314,62772,24460,0.3294469903155071,0.01626440065372994,61.483974804240226,212.07067697346397,2.5081376011778667,3.984753028031704,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,11,16,70.73170731707317,0.020089530498714585,72322.30979537251,0.003496582783301274,22206204.75467474,72508,36124,1.2928939082405784,0.008106056439521477,123.36454939105172,353.7982849607379,1.872225706170245,2.002057075500291,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,6,32,70.1219512195122,0.018660764706114517,67178.75294201226,0.0032479060970992315,19507188.774315458,77052,39660,2.563009023666382,0.006933920917280142,144.2185470428258,401.93216480744667,1.7705936446422483,1.6938666904188668,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,3,64,70.1219512195122,0.01753702711915532,63133.29762895915,0.003052319570088984,17894122.780086722,80688,41984,5.3517640431722,0.006368585725928225,157.02073317922552,432.8062337516912,1.7282560685785806,1.5037466089214737,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,2,128,70.1219512195122,0.018355398059625407,66079.43301465147,0.0031947570322778023,18586261.817654982,84976,41984,7.984545350074768,0.006319131526141995,158.249594246146,451.37881397813226,1.7150701749615553,1.5739194220334287,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,mmlu,1140,1140,1,57.719298245614034,0.010923319126445116,39323.94885520242,0.0019012036939577725,6532482.266102423,170633,2280,0.03238904016059742,0.05666499388845343,17.647579773299313,1040.8940570238365,0.14571902793750427,17.24734598912387,16
