Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),Cuantizacion,Attention Implementation,Speculative Decoding
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,humaneval,164,164,1,72.5609756097561,0.0050761322793326,18274.076205597405,0.0008835008232178,5458225.51913697,51675,10555,0.0551488806561725,0.027441249939572,36.441488715058014,208.34532363809964,1.8212610337792372,1.731319394182606,f16,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.36842105263158,0.0015402119053131,5544.762859127228,0.0002680738821197,483170.83310021326,170633,1140,0.0474824487117298,0.0289561790332459,34.53494326208761,1971.229398284722,0.0764386277449758,4.863827069409849,f16,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,resumen,100,100,1,26.108154685595064,0.0044438223679334,15997.76052456033,0.0007734472831388,4000222.934765909,93940,8289,0.2208466553688049,0.0275020227456412,36.36096185537807,408.8359792279884,2.5004893207550047,1.9299988568657656,f16,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.0032676918683521,11763.690726067693,0.0005687417696866,2160385.7826181767,51675,10753,0.046328777220191,0.0163722420519233,61.07898947673577,339.931733746624,1.119808769807583,1.0939915117704542,q8_0,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.45614035087719,0.0011585351116101,4170.726401796643,0.0002016430361757,259776.98071535988,170633,1140,0.0363518091670253,0.0182848470252856,54.69009385843498,2757.820128030516,0.054636656192311,3.658531931400564,q8_0,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,resumen,100,100,1,26.23859330182826,0.0029756834448691,10712.460401528982,0.0005179177035794,1718534.2382772004,93940,8413,0.2265662145614624,0.0163755185621382,61.06676843273196,638.0160691921214,1.6042385911941528,1.2733222871186238,q8_0,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.0034416239039676,12389.846054283533,0.0005990146404855,2075843.5302348216,51675,11051,0.0455927209156315,0.0144843657775525,69.03995765902097,374.3853870879541,1.0216093441335166,1.121151574905758,q6_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.45614035087719,0.0012454626562407,4483.665562466834,0.0002167727753187,262571.5163288508,170633,1140,0.035151363673963,0.0162186344464619,61.65747204556697,2933.1920515591382,0.051369998120425,3.9330399670761698,q6_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,resumen,100,100,1,26.17634550124812,0.0030804457354986,11089.60464779509,0.0005361515802635,1589934.648945557,93940,8319,0.2264760565757751,0.0145118427987367,68.9092359853188,713.2443351875837,1.4337162590026855,1.3330453958162147,q6_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,71.95121951219512,0.0028891321689078,10400.87580806829,0.0005028534539984,1483785.29842155,51675,10532,0.0402301302770288,0.0129189050745429,77.40594069156252,436.05182102881736,0.8698759122592646,0.9875499248070916,q5_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.36842105263158,0.0010842382663461,3903.257758845984,0.0001887116702575,203400.8692337634,170633,1140,0.0310984394006561,0.0146125605231837,68.43427600614135,3296.319713558807,0.0457109999238399,3.423910314777179,q5_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,resumen,100,100,1,26.01778732524763,0.0028231445594917,10163.320414170345,0.0004913683105795,1367515.1886496863,93940,8847,0.2042098999023437,0.0129007559328196,77.51483751862854,763.9090403396864,1.3455397772789002,1.1487872063038709,q5_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q4_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,68.29268292682927,0.0023678426700762,8524.233612274602,0.0004121230167267,979051.7093460372,51675,9720,0.0377525105708982,0.011179391861943,89.45030394758814,534.5430865701368,0.7003359794616699,0.8769787666949179,q4_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q4_k_m.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.631578947368425,0.0010018407369235,3606.62665292477,0.0001743703802615,171951.37804842216,170633,1140,0.0290023423077767,0.0128191592400534,78.00823605307157,3602.885228860376,0.0418215015478301,3.163707590284886,q4_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q4_k_m.gguf,llamacpp,cuda,resumen,100,100,1,26.216608184669436,0.002571592028534,9257.731302722485,0.0004475855925663,1117006.991877319,93940,8999,0.1987838983535766,0.0111988305330197,89.29503817845128,853.1563450371096,1.2065666580200196,1.0287511170932864,q4_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q3_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,47.5609756097561,0.0023674669458653,8522.881005115145,0.0004120576219278,904707.4446172894,51675,9712,0.0387125175173689,0.0102761092011186,97.31309588371673,578.3019686350937,0.647258691671418,0.8775618827342612,q3_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q3_k_m.gguf,llamacpp,cuda,mmlu,1140,1140,1,55.52631578947368,0.001026391179923,3695.008247722864,0.0001786433848656,171884.82051668855,170633,1140,0.028914293280819,0.0118910712108277,84.09671275783988,3692.6044419057657,0.0408053644916467,3.2412353050200555,q3_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q3_k_m.gguf,llamacpp,cuda,resumen,100,100,1,24.258692800129587,0.0030192951150425,10869.462414153026,0.0005255083147731,1432566.128845533,93940,10857,0.2059571814537048,0.0102423885266754,97.63347654656732,795.1375016341863,1.3179733037948609,1.001147869038687,q3_K_M,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q2_k.gguf,llamacpp,cuda,humaneval,164,164,1,46.95121951219512,0.0019568678613099,7044.72430071595,0.000340592851261,586558.7372589541,51675,9010,0.0409242234578946,0.0084961770774257,117.69999505506948,728.8427689045072,0.5076959031384166,0.7818783907564872,q2_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q2_k.gguf,llamacpp,cuda,mmlu,1140,1140,1,50.26315789473684,0.0011258007431079,4052.882675188643,0.0001959456193379,184250.21628262656,170633,1140,0.0298986411931221,0.0099798871759782,100.20153358116248,3778.4260437300936,0.0398785283691004,3.555160241393547,q2_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q2_k.gguf,llamacpp,cuda,resumen,100,100,1,22.62387157587658,0.0029402110237545,10584.759685516496,0.0005117437286844,1270175.308542307,93940,11478,0.2266651225090027,0.0084800382881011,117.92399586251372,878.480465667635,1.2000039172172547,0.9221780524060372,q2_K,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-bf16.gguf,llamacpp,cuda,humaneval,164,164,1,0.6097560975609756,0.0060922717732145,21932.17838357222,0.0010603599021279,7402097.398539586,54526,15912,0.0430581496983039,0.0207665836829045,48.154285522814085,208.7055462532628,2.057923268981096,1.3783420301390283,f16,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-bf16.gguf,llamacpp,cuda,mmlu,1140,1140,1,58.6842105263158,0.0012459212559533,4485.316521431943,0.0002168525945986,299858.31194855965,173830,1141,0.0357314691208956,0.0228917157827606,43.68392520201929,2617.237161016568,0.0586432653560973,3.931039896084087,f16,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-bf16.gguf,llamacpp,cuda,resumen,100,100,1,25.167978875015763,0.0034113443628367,12280.839706212288,0.0005937444863517,2231730.8891758085,94545,7824,0.1635635185241699,0.0211360256791358,47.3125844556073,563.3193885439873,1.8172461676597595,1.5696369767653742,f16,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q8_0.gguf,llamacpp,cuda,humaneval,164,164,1,0.6097560975609756,0.0037771915212395,13597.889476462513,0.0006574201842717,2917180.3608989734,54526,15456,0.0356980315068872,0.0135013827008983,74.06648801485049,326.2079760637588,1.3081210255622864,0.8797806338290963,q8_0,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q8_0.gguf,llamacpp,cuda,mmlu,1140,1140,1,58.42105263157895,0.0009156699644698,3296.411872091595,0.0001593723573159,165936.75525795302,173830,1140,0.0284469564755757,0.0157097092845983,63.6549016842972,3475.861537507211,0.0441566657601741,2.891589361483855,q8_0,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q8_0.gguf,llamacpp,cuda,resumen,100,100,1,24.881976228500115,0.0023290484724614,8384.574500861228,0.0004053708866319,1039961.0783726803,94545,7869,0.1523594260215759,0.0138259902662751,72.32754983483788,825.7018755691154,1.240326600074768,1.0655196976567831,q8_0,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q6_K.gguf,llamacpp,cuda,humaneval,164,164,1,1.2195121951219512,0.0035538172643632,12793.742151707582,0.0006185418948624,2282526.413937659,54526,14296,0.0367098581500169,0.0120585606327654,82.92863721087947,385.7527855924595,1.0878634118452304,0.8949176099403736,q6_K,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q6_K.gguf,llamacpp,cuda,mmlu,1140,1140,1,58.59649122807018,0.0009703302251598,3493.188810575493,0.000168885975689,169390.50287691844,173830,1140,0.0283046881357828,0.0142318503898486,70.26493200865026,3608.249788540406,0.0425365385256315,3.064200711031134,q6_K,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q6_K.gguf,llamacpp,cuda,resumen,100,100,1,24.843346776348262,0.0023834402208793,8580.384795165694,0.000414837770444,971466.8686898064,94545,7800,0.1650654411315918,0.0123990967946174,80.65103584271603,903.9520648250054,1.1321949911117557,1.1000493327135503,q6_K,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q5_K_M.gguf,llamacpp,cuda,humaneval,164,164,1,0.6097560975609756,0.0032447628494732,11681.146258103863,0.0005647509739508,1932668.16013382,54526,14603,0.0338984248114795,0.010949297097581,91.330063572841,417.819249229288,1.0088532145430402,0.7999141449088449,q5_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q5_K_M.gguf,llamacpp,cuda,mmlu,1140,1140,1,58.245614035087726,0.0008804912792635,3169.768605348725,0.0001532495071558,142354.600806453,173830,1140,0.0261540952481721,0.0132407226060566,75.52457896388349,3896.006238898641,0.0393948178542287,2.7804987766216884,q5_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q5_K_M.gguf,llamacpp,cuda,resumen,100,100,1,24.874430782579577,0.0021012468209227,7564.488555321725,0.0003657220091815,782268.1023883017,94545,7791,0.1554140329360961,0.0112786310472807,88.6632425343051,989.583364621388,1.0341321778297423,0.970926524877644,q5_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q4_K_M.gguf,llamacpp,cuda,humaneval,164,164,1,1.2195121951219512,0.0030450962663528,10962.346558870197,0.0005299990051587,1758511.733778515,54526,15420,0.0323381293110731,0.0100590371436182,99.413093492197,436.03478878083513,0.978132963180542,0.7109174162691437,q4_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q4_K_M.gguf,llamacpp,cuda,mmlu,1140,1140,1,58.59649122807018,0.0008240744680989,2966.668085156241,0.0001434301611726,125319.61895432566,173830,1142,0.0247806137068229,0.0122527568853882,81.61428561375652,4142.079688138411,0.0370548666569224,2.5977829116954823,q4_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q4_K_M.gguf,llamacpp,cuda,resumen,100,100,1,24.746082996641263,0.0019551544221427,7038.555919713832,0.0003402946271739,680251.8877700092,94545,7849,0.1517830896377563,0.010379437413667,96.34433545340907,1059.46915811698,0.9664651322364808,0.896745562455578,q4_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q3_K_M.gguf,llamacpp,cuda,humaneval,164,164,1,36.58536585365854,0.0034841206054104,12542.834179477552,0.0006064111913716,2170567.131333734,54526,17653,0.0334052734258698,0.009492658538291,105.34456664234172,417.0934016144521,1.0551973537700932,0.710521394634201,q3_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q3_K_M.gguf,llamacpp,cuda,mmlu,1140,1140,1,55.35087719298246,0.0008404038067912,3025.4537044486,0.000146272282572,126779.18994476087,173830,1144,0.025077365992362,0.0116398547079179,85.91172528294136,4175.572794816281,0.0367580622957463,2.6446273640284965,q3_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q3_K_M.gguf,llamacpp,cuda,resumen,100,100,1,22.961681404309346,0.0020024062733926,7208.662584213459,0.0003485188118839,679021.0544065837,94545,8049,0.1548598170280456,0.0097787512031485,102.26254653845946,1089.1643556047368,0.9419515013694764,0.8955972896277127,q3_K_M,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q2_K.gguf,llamacpp,cuda,humaneval,164,164,1,35.36585365853659,0.0052751206335819,18990.43428089493,0.0009181347462749,4777453.560189377,54526,29633,0.0348635228668771,0.0082966274903458,120.53090260634563,334.533018167629,1.5339730498267383,0.6408542598081507,q2_K,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q2_K.gguf,llamacpp,cuda,mmlu,1140,1140,1,42.63157894736842,0.0008517671461098,3066.361725995463,0.0001482500717804,125173.8056027196,173830,1158,0.0253697876344647,0.0102763787452421,97.31054341131534,4286.65169301872,0.0358084249914738,2.6479807651083447,q2_K,,
bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-Q2_K.gguf,llamacpp,cuda,resumen,100,100,1,24.2645286320104,0.0021049964580774,7577.9872490789,0.0003663746335283,721043.3248132066,94545,9136,0.1675749969482421,0.0085805839550683,116.54218468538248,1089.6617012234196,0.9514971470832824,0.8294644537082859,q2_K,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.fp16.gguf,llamacpp,cuda,humaneval,164,164,1,4.2682926829268295,0.0328926159843477,118413.41754365184,0.0057249598120757,244637566.32206187,42094,32874,0.1033968809174328,0.0623290275087058,16.043889018809473,36.28721957904765,12.597326456046686,3.6020386184721005,f16,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.fp16.gguf,llamacpp,cuda,mmlu,1140,1140,1,62.28070175438597,0.010378910613679,37364.07820924474,0.0018064493923108,23619902.7562292,137544,8994,0.0927294549189115,0.058532776661865,17.084444938890368,231.80693625770053,0.5545222560564677,4.154333801339197,f16,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.fp16.gguf,llamacpp,cuda,resumen,100,100,1,22.966164865194088,0.0174610562978133,62859.80267212802,0.0030390968486344,66987489.42410145,99795,16329,0.4560336756706238,0.0624693243668123,16.00785681830207,108.96858186883912,10.656649651527404,3.8495806645923216,f16,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q8_0.gguf,llamacpp,cuda,humaneval,164,164,1,3.658536585365853,0.0209697424584829,75491.07285053872,0.0036497836748989,91574026.40930676,42094,32829,0.0967337518203549,0.0364671512258532,27.42193909819459,61.76443117069368,7.396612456658992,2.2995239833847734,q8_0,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q8_0.gguf,llamacpp,cuda,mmlu,1140,1140,1,62.36842105263158,0.0070348724033569,25325.540652085,0.0012244195418042,9911186.92857758,137544,8998,0.0713001295139915,0.0344598018797166,29.01931948101564,374.4511535280333,0.3432907411926671,2.8145744223255167,q8_0,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q8_0.gguf,llamacpp,cuda,resumen,100,100,1,22.843128968225415,0.0115790217638694,41684.47834992996,0.0020153287380014,26993769.00341433,99795,16044,0.5820190000534058,0.0367347127301709,27.222208251507062,178.8815888202487,6.475736310482025,2.598135025550359,q8_0,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q6_K.gguf,llamacpp,cuda,humaneval,164,164,1,1.829268292682927,0.0205963572985143,74146.88627465161,0.0035847959878064,76091853.43283272,42094,31704,0.0941285723593176,0.0318822289412592,31.36543564260921,71.91166552575632,6.257507757442753,2.338723387416465,q6_K,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q6_K.gguf,llamacpp,cuda,mmlu,1140,1140,1,62.36842105263158,0.0072326311452698,26037.47212297138,0.0012588394508342,9002723.5558503,137544,9000,0.0655027213849519,0.0301207971043056,33.1996526033852,423.8312207542104,0.3032984879978916,2.893052458107931,q6_K,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q6_K.gguf,llamacpp,cuda,resumen,100,100,1,22.77212740192257,0.0119498653477259,43019.51525181337,0.0020798740637716,24917355.5542416,99795,16432,0.5350970721244812,0.0319925028660281,31.25732313559844,200.66452028940824,5.792105143070221,2.6180328171746208,q6_K,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q5_K_M.gguf,llamacpp,cuda,humaneval,164,164,1,4.2682926829268295,0.019295077537116,69462.27913361767,0.003358308245335,67824443.73755078,42094,34681,0.0735360732892664,0.0278066177378613,35.96266217729908,78.6289748445208,5.953787962111031,2.002891471803514,q5_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q5_K_M.gguf,llamacpp,cuda,mmlu,1140,1140,1,63.24561403508772,0.0061401655927078,22104.59613374833,0.0010686958214108,6625407.342639523,137544,9018,0.0554051687842921,0.0262328631916498,38.12012408612369,488.9803224179946,0.2629209234003435,2.4511639092646185,q5_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q5_K_M.gguf,llamacpp,cuda,resumen,100,100,1,22.18500906668752,0.010422147604635,37519.73137668607,0.0018139747905867,19465817.80125062,99795,16892,0.4712575244903564,0.0279238537225626,35.81167592179424,224.9104013944942,5.188154895305633,2.2211538821149697,q5_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q4_K_M.gguf,llamacpp,cuda,humaneval,164,164,1,3.048780487804878,0.015351727858097,55266.22028914924,0.0026719682337017,41858422.53095772,42094,32066,0.0672794856676241,0.0232758159862887,42.963048023282006,97.91441360725194,4.618269213816014,1.723514635101018,q4_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q4_K_M.gguf,llamacpp,cuda,mmlu,1140,1140,1,62.28070175438597,0.005343861726929,19237.902216944647,0.000930099133572,4878825.352944401,137544,8955,0.0497206614728559,0.0219903180746976,45.47455823981984,577.666391599628,0.2224603968754149,2.1482861213785203,q4_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q4_K_M.gguf,llamacpp,cuda,resumen,100,100,1,22.961042058988635,0.0087618189656489,31542.54827633608,0.0015249945909711,13545112.76764476,99795,16478,0.4346560740470886,0.0234226200646864,42.69377197078258,270.7653142980914,4.294235408306122,1.9142218883563584,q4_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q3_K_M.gguf,llamacpp,cuda,humaneval,164,164,1,1.2195121951219512,0.0148356471988796,53408.32991596666,0.0025821443949649,36137806.452947445,42094,31911,0.0685524068227628,0.0208514244403787,47.9583542534151,109.3725337363066,4.125807317291818,1.673665191186947,q3_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q3_K_M.gguf,llamacpp,cuda,mmlu,1140,1140,1,61.140350877192986,0.0053249546244842,19169.836648143133,0.0009268083523914,4437075.245391562,137544,8915,0.0492998942994234,0.0196589362935543,50.86745208731725,632.7580557860546,0.2030362250512106,2.150290145613363,q3_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q3_K_M.gguf,llamacpp,cuda,resumen,100,100,1,22.84070953800376,0.0089710725921,32295.861331560038,0.001561415184655,12813804.985844694,99795,16785,0.4441706919670105,0.0209917186518883,47.63783359444203,293.8277520371576,3.9676306676864623,1.9240906363753367,q3_K_M,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q2_K.gguf,llamacpp,cuda,humaneval,164,164,1,15.24390243902439,0.0150881076108717,54317.18739913839,0.0026260851296722,34373661.61513133,42094,38202,0.0745294820971605,0.0162454661783276,61.5556358323564,126.88356940947187,3.8587325244415096,1.421841458539825,q2_K,,
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF/Mistral-7B-Instruct-v0.3.Q2_K.gguf,llamacpp,cuda,mmlu,1140,1140,1,56.84210526315789,0.0048321969351492,17395.908966537172,0.0008410438765627,3371996.108434268,137544,8727,0.052210139391715,0.0153911877596407,64.97224357318505,754.6025910527709,0.1700337320043329,1.9933435277342928,q2_K,,
